num_mules,num_sensors,advertisement_period,connection_time,ble_throughput,sample_period,sample_length,batch_period,batch_length
100,1000,2.0,1.5,125000.0,10.0,128,600.0,100000

sensor_id,mule_id,sample_time,pickup_time,batch_time,data_length
582,0,710.0,779.3010240000001,1200,128
582,0,720.0,779.3020480000001,1200,128
582,0,730.0,779.3030720000002,1200,128
582,0,740.0,779.3040960000002,1200,128
582,0,750.0,779.3051200000002,1200,128
582,0,760.0,779.3061440000002,1200,128
582,0,770.0,779.3071680000003,1200,128
86,0,780.0,780.001024,1200,128
582,0,780.0,780.001024,1200,128
582,0,790.0,790.001024,1200,128
918,0,780.0,798.401024,1200,128
918,0,790.0,798.402048,1200,128
582,0,800.0,800.001024,1200,128
918,0,800.0,800.001024,1200,128
96,0,780.0,800.7010240000001,1200,128
96,0,790.0,800.7020480000001,1200,128
96,0,800.0,800.7030720000001,1200,128
86,0,790.0,804.101024,1200,128
86,0,800.0,804.1020480000001,1200,128
385,0,560.0,825.6010240000002,1200,128
385,0,570.0,825.6020480000002,1200,128
385,0,580.0,825.6030720000002,1200,128
385,0,590.0,825.6040960000003,1200,128
385,0,600.0,825.6051200000003,1200,128
385,0,610.0,825.6061440000003,1200,128
385,0,620.0,825.6071680000003,1200,128
385,0,630.0,825.6081920000004,1200,128
385,0,640.0,825.6092160000004,1200,128
385,0,650.0,825.6102400000004,1200,128
385,0,660.0,825.6112640000005,1200,128
385,0,670.0,825.6122880000005,1200,128
385,0,680.0,825.6133120000005,1200,128
385,0,690.0,825.6143360000005,1200,128
385,0,700.0,825.6153600000006,1200,128
385,0,710.0,825.6163840000006,1200,128
385,0,720.0,825.6174080000006,1200,128
385,0,730.0,825.6184320000007,1200,128
385,0,740.0,825.6194560000007,1200,128
385,0,750.0,825.6204800000007,1200,128
385,0,760.0,825.6215040000008,1200,128
385,0,770.0,825.6225280000008,1200,128
385,0,780.0,825.6235520000008,1200,128
385,0,790.0,825.6245760000008,1200,128
385,0,800.0,825.6256000000009,1200,128
385,0,810.0,825.6266240000009,1200,128
385,0,820.0,825.6276480000009,1200,128
385,0,830.0,830.001024,1200,128
385,0,840.0,840.001024,1200,128
385,0,850.0,850.001024,1200,128
385,0,860.0,866.901024,1200,128
385,0,870.0,870.001024,1200,128
385,0,880.0,880.001024,1200,128
385,0,890.0,890.001024,1200,128
169,0,480.0,917.801024,1200,128
169,0,490.0,917.802048,1200,128
169,0,500.0,917.803072,1200,128
169,0,510.0,917.8040960000001,1200,128
169,0,520.0,917.8051200000001,1200,128
169,0,530.0,917.8061440000001,1200,128
169,0,540.0,917.8071680000002,1200,128
169,0,550.0,917.8081920000002,1200,128
169,0,560.0,917.8092160000002,1200,128
169,0,570.0,917.8102400000002,1200,128
169,0,580.0,917.8112640000003,1200,128
169,0,590.0,917.8122880000003,1200,128
169,0,600.0,917.8133120000003,1200,128
169,0,610.0,917.8143360000004,1200,128
169,0,620.0,917.8153600000004,1200,128
169,0,630.0,917.8163840000004,1200,128
169,0,640.0,917.8174080000005,1200,128
169,0,650.0,917.8184320000005,1200,128
169,0,660.0,917.8194560000005,1200,128
169,0,670.0,917.8204800000005,1200,128
169,0,680.0,917.8215040000006,1200,128
169,0,690.0,917.8225280000006,1200,128
169,0,700.0,917.8235520000006,1200,128
169,0,710.0,917.8245760000007,1200,128
169,0,720.0,917.8256000000007,1200,128
169,0,730.0,917.8266240000007,1200,128
169,0,740.0,917.8276480000007,1200,128
169,0,750.0,917.8286720000008,1200,128
169,0,760.0,917.8296960000008,1200,128
169,0,770.0,917.8307200000008,1200,128
169,0,780.0,917.8317440000009,1200,128
169,0,790.0,917.8327680000009,1200,128
169,0,800.0,917.8337920000009,1200,128
169,0,810.0,917.834816000001,1200,128
169,0,820.0,917.835840000001,1200,128
169,0,830.0,917.836864000001,1200,128
169,0,840.0,917.837888000001,1200,128
169,0,850.0,917.8389120000011,1200,128
169,0,860.0,917.8399360000011,1200,128
169,0,870.0,917.8409600000011,1200,128
169,0,880.0,917.8419840000012,1200,128
169,0,890.0,917.8430080000012,1200,128
169,0,900.0,917.8440320000012,1200,128
169,0,910.0,917.8450560000013,1200,128
385,0,900.0,921.7010240000001,1200,128
385,0,910.0,921.7020480000001,1200,128
385,0,920.0,921.7030720000001,1200,128
385,0,930.0,930.001024,1200,128
59,0,670.0,942.1010240000002,1200,128
59,0,680.0,942.1020480000002,1200,128
59,0,690.0,942.1030720000002,1200,128
59,0,700.0,942.1040960000003,1200,128
59,0,710.0,942.1051200000003,1200,128
59,0,720.0,942.1061440000003,1200,128
59,0,730.0,942.1071680000003,1200,128
59,0,740.0,942.1081920000004,1200,128
59,0,750.0,942.1092160000004,1200,128
59,0,760.0,942.1102400000004,1200,128
59,0,770.0,942.1112640000005,1200,128
59,0,780.0,942.1122880000005,1200,128
59,0,790.0,942.1133120000005,1200,128
59,0,800.0,942.1143360000005,1200,128
59,0,810.0,942.1153600000006,1200,128
59,0,820.0,942.1163840000006,1200,128
59,0,830.0,942.1174080000006,1200,128
59,0,840.0,942.1184320000007,1200,128
59,0,850.0,942.1194560000007,1200,128
59,0,860.0,942.1204800000007,1200,128
59,0,870.0,942.1215040000008,1200,128
